Ammars-MacBook-Pro:Stock-Exchange-Model Ammar$ python Runner.py
11 left market at 16
28 left market at 17
12 left market at 17
14 left market at 20
11 left market at 20
11 left market at 22
15 left market at 23
11 left market at 24
27 left market at 25
18 left market at 26
11 left market at 26
13 left market at 28
15 left market at 28
11 left market at 29
15 left market at 31
17 left market at 31
18 left market at 31
13 left market at 31
11 left market at 31
50 left market at 32
25 left market at 32
12 left market at 34
14 left market at 35
148 left market at 37
12 left market at 37
13 left market at 37
13 left market at 38
100 left market at 38
22 left market at 38
40 left market at 38
53 left market at 38
18 left market at 38
15 left market at 38
20 left market at 38
15 left market at 38
15 left market at 38
15 left market at 39
24 left market at 40
11 left market at 40
19 left market at 40
20 left market at 40
17 left market at 41
20 left market at 41
19 left market at 41
29 left market at 42
11 left market at 42
13 left market at 42
31 left market at 43
12 left market at 44
13 left market at 49
15 left market at 49
12 left market at 50
34 left market at 51
32 left market at 51
12 left market at 52
11 left market at 52
53 left market at 52
16 left market at 53
14 left market at 53
15 left market at 55
11 left market at 56
15 left market at 56
11 left market at 56
22 left market at 57
28 left market at 57
28 left market at 59
18 left market at 61
11 left market at 61
11 left market at 62
18 left market at 63
13 left market at 64
11 left market at 65
16 left market at 67
17 left market at 67
13 left market at 68
14 left market at 68
13 left market at 69
27 left market at 71
13 left market at 72
11 left market at 74
13 left market at 74
13 left market at 76
20 left market at 79
11 left market at 81
17 left market at 81
18 left market at 83
13 left market at 85
11 left market at 85
148 left market at 85
12 left market at 85
24 left market at 85
11 left market at 85
19 left market at 85
20 left market at 85
14 left market at 86
12 left market at 86
22 left market at 86
50 left market at 86
15 left market at 86
20 left market at 86
15 left market at 86
15 left market at 86
100 left market at 87
12 left market at 87
23 left market at 87
53 left market at 89
19 left market at 89
29 left market at 91
40 left market at 91
12 left market at 91
15 left market at 92
34 left market at 93
28 left market at 94
11 left market at 94
28 left market at 94
11 left market at 95
15 left market at 99
53 left market at 99
11 left market at 104
14 left market at 104
17 left market at 104
11 left market at 106
27 left market at 108
17 left market at 108
15 left market at 108
11 left market at 110
18 left market at 113
13 left market at 113
13 left market at 114
13 left market at 115
15 left market at 116
12 left market at 117
18 left market at 121
13 left market at 121
11 left market at 121
16 left market at 121
14 left market at 122
13 left market at 122
31 left market at 124
11 left market at 126
11 left market at 127
11 left market at 129
16 left market at 132
14 left market at 134
11 left market at 135
11 left market at 136
12 left market at 137
20 left market at 139
148 left market at 142
19 left market at 142
34 left market at 142
100 left market at 143
22 left market at 143
40 left market at 143
50 left market at 143
20 left market at 143
15 left market at 143
15 left market at 143
53 left market at 144
12 left market at 144
20 left market at 145
23 left market at 145
13 left market at 146
24 left market at 146
11 left market at 146
11 left market at 147
22 left market at 147
14 left market at 147
29 left market at 148
15 left market at 149
15 left market at 149
32 left market at 150
18 left market at 151
25 left market at 153
13 left market at 154
12 left market at 154
28 left market at 154
13 left market at 155
17 left market at 155
13 left market at 155
14 left market at 156
17 left market at 157
19 left market at 157
12 left market at 159
15 left market at 161
17 left market at 163
15 left market at 170
11 left market at 175
16 left market at 176
14 left market at 177
14 left market at 180
11 left market at 183
15 left market at 186
16 left market at 186
31 left market at 187
11 left market at 191
Ammars-MacBook-Pro:Stock-Exchange-Model Ammar$ 
